Symbol,Date,Open,High,Low,Close,Volume
AACG,08-Mar-2024,1.54,1.57,1.45,1.57,23300
AACI,08-Mar-2024,10.98,10.98,10.98,10.98,300
AADI,08-Mar-2024,2.24,2.305,2.12,2.14,358500
AADR,08-Mar-2024,60.03,60.03,60.03,60.03,100
AAGR,08-Mar-2024,0.55,0.6,0.303,0.362,1806700
AAGRW,08-Mar-2024,0.0112,0.016,0.0112,0.0112,4900
AAL,08-Mar-2024,14.94,15.1482,14.66,14.68,28464400
AAME,08-Mar-2024,2.8482,2.8482,2.82,2.83,800
AAOI,08-Mar-2024,15.07,16.24,14.64,14.76,2787200
AAON,08-Mar-2024,81.84,83.4614,81.41,81.75,426300
AAPB,08-Mar-2024,17.51,18.19,17.262,17.67,204100
AAPD,08-Mar-2024,23.13,23.16,22.5,22.92,375600
AAPL,08-Mar-2024,169,173.7,168.94,170.73,76267000
AAPU,08-Mar-2024,22.24,23.15,22.2101,22.57,672700
AAXJ,08-Mar-2024,67.9,68.12,67.5,67.57,1185600
ABAT,08-Mar-2024,2.26,2.28,2.05,2.06,623800
ABCB,08-Mar-2024,48.31,48.555,47.42,47.5,286800
ABCL,08-Mar-2024,4.98,5.125,4.76,4.77,1058800
ABCS,08-Mar-2024,26.51,26.5101,26.2621,26.2621,2100
ABEO,08-Mar-2024,8.39,8.4,7.84,7.97,262600
ABIO,08-Mar-2024,1.65,1.65,1.58,1.64,15900
ABL,08-Mar-2024,11.28,11.59,11.02,11.02,21800
ABLLL,08-Mar-2024,25.25,25.25,25.2,25.2,1200
ABLLW,08-Mar-2024,0.46,0.499,0.46,0.47,43800
ABLV,08-Mar-2024,3.01,3.05,2.92,3.01,16300
ABNB,08-Mar-2024,166,168.19,163.48,164.91,4105700
ABOS,08-Mar-2024,4.45,4.6,4.25,4.37,339300
ABSI,08-Mar-2024,5.21,5.75,4.94,5.02,1925600
ABTS,08-Mar-2024,0.9,0.9,0.81,0.823,380700
ABUS,08-Mar-2024,2.74,2.795,2.71,2.73,470300
ABVC,08-Mar-2024,1.25,1.29,1.24,1.25,55700
ABVX,08-Mar-2024,14.52,14.52,14,14.1,28600
ACAB,08-Mar-2024,10.72,10.72,10.72,10.72,700
ACAC,08-Mar-2024,11.15,11.15,11.15,11.15,200
ACAD,08-Mar-2024,23.93,24.14,23.22,23.44,2042000
ACB,08-Mar-2024,3.11,3.31,3.11,3.18,1458500
ACCD,08-Mar-2024,9.72,9.94,9.4,9.5,496600
ACDC,08-Mar-2024,8,8.18,7.74,7.8,531900
ACET,08-Mar-2024,2.41,2.515,2.41,2.43,4307500
ACGL,08-Mar-2024,87.55,88.05,87.005,87.61,1208600
ACGLN,08-Mar-2024,20.84,21,20.84,21,26100
ACGLO,08-Mar-2024,24.35,24.5,24.35,24.5,12100
ACHC,08-Mar-2024,83.74,84.44,81.66,81.81,619500
ACHL,08-Mar-2024,1.24,1.2799,1.2112,1.23,149100
ACHV,08-Mar-2024,4.42,4.48,4.37,4.39,68500
ACIC,08-Mar-2024,10.59,10.67,10,10.04,330300
ACIU,08-Mar-2024,3.88,3.99,3.6,3.78,77700
ACIW,08-Mar-2024,31.85,32.57,31.85,32.09,481700
ACLS,08-Mar-2024,119.05,119.19,111.88,111.91,858600
ACLX,08-Mar-2024,73.08,74.555,70.65,72.35,406300
ACMR,08-Mar-2024,30.5,30.75,30.0113,30.16,1648200
ACNB,08-Mar-2024,35.58,35.58,35.04,35.45,5000
ACNT,08-Mar-2024,10.35,10.35,10.0101,10.33,3900
ACON,08-Mar-2024,0.34,0.35,0.3318,0.3385,318500
ACOR,08-Mar-2024,13.3,13.3,12.5,12.79,3700
ACRS,08-Mar-2024,1.34,1.485,1.34,1.41,1198500
ACRV,08-Mar-2024,5.19,5.5,4.85,4.95,42200
ACST,08-Mar-2024,3.4,3.44,3.3001,3.4,15300
ACT,08-Mar-2024,28.79,28.92,28.69,28.7,170500
